Name	Status	NCBI_TaxID	ICTV
Circoviridae TM-6c	NCBI_only	795382	.
Mycobacterium phage JF1	NCBI_only	2725643	.
Vibrio phage Va_91-7-154_p41	NCBI_only	2565523	.
Mycobacterium virus TM4	Both	1993872	2019.v1.2028
Rolda virus	NCBI_only	1911103	.
Human coronavirus Feline-like Hu142	NCBI_only	1428481	.
Alenquer phlebovirus	Both	2734436	2019.v1.4735
Mycobacterium phage JF2	NCBI_only	2725642	.
Zika virus	Both	64320	2019.v1.3882
Niehaus virus	NCBI_only	1888320	.
Mycobacterium phage Bunnies	NCBI_only	2593345	.
Black Syrian hamster retrovirus	NCBI_only	2594425	.
Fujian dimarhabdovirus	NCBI_only	2116366	.
Mugil cephalus encephalitis virus	NCBI_only	241433	.
Escherichia phage rolling	NCBI_only	2696442	.
Metallosphaera turreted icosahedral virus	NCBI_only	2023155	.
Yersinia phage PY100	NCBI_only	342373	.
Chicken virus mg4_1578	NCBI_only	2720900	.
Tomato planta macho viroid	Both	12888	2019.v1.6511
Helicoverpa armigera iflavirus	NCBI_only	1936269	.
Streptomyces virus phiC31	Both	10719	2019.v1.1760
Carnivore bocaparvovirus 1	Both	1511866	2019.v1.2419
Carnivore bocaparvovirus 3	Both	1511868	2019.v1.2421
Carnivore bocaparvovirus 2	Both	1511867	2019.v1.2420
Carnivore bocaparvovirus 5	Both	2169768	2019.v1.2423
Carnivore bocaparvovirus 4	Both	2169767	2019.v1.2422
Carnivore bocaparvovirus 6	Both	2169769	2019.v1.2424
Guangdong fish caecilians hepevirus	NCBI_only	2116394	.
Diceros bicornis gammaherpesvirus 1	NCBI_only	230460	.
Avipoxvirus isolate Cch/07	NCBI_only	656813	.
Pelargonium chlorotic ring pattern virus	Both	167021	2019.v1.4027
Vaprio ledantevirus	Both	2560829	2019.v1.4366
Staphylococcus phage phiSa2wa_st22	NCBI_only	2060949	.
Rana hepevirus	NCBI_only	2185281	.
Mycobacterium phage Flathead	NCBI_only	2653756	.
Atrato Reo-like virus	NCBI_only	2689356	.
Enset leaf streak virus	NCBI_only	2303158	.
Entomophthora benyvirus E	NCBI_only	2592779	.
Gordonia phage Azula	NCBI_only	2762397	.
Vernonia green vein-banding virus	NCBI_only	2005218	.
Massilia phlebovirus	Both	2734459	2019.v1.4761
Planktothrix phage PaV-LD	NCBI_only	994601	.
Pseudomonas virus BR143	NCBI_only	2489532	.
Pseudomonas virus BR144	NCBI_only	2489533	.
Phytophthora alphaendornavirus 1	Both	310750	2019.v1.3509
Anhembi orthobunyavirus	Both	2560294	2019.v1.4602
Vole astrovirus Ec/FG032/Yunnan	NCBI_only	1524040	.
Velvet bean severe mosaic virus	Both	667119	2019.v1.3056
Capybara microvirus Cap1_SP_133	NCBI_only	2585383	.
Scutellospora mitovirus A	NCBI_only	2592734	.
Scutellospora mitovirus C	NCBI_only	2592736	.
Scutellospora mitovirus B	NCBI_only	2592735	.
Bacillus phage BVE2	NCBI_only	2059851	.
Miniopterus schreibersii astrovirus 1	NCBI_only	1195280	.
Nigrospora oryzae unassigned RNA virus 1	NCBI_only	1762895	.
Rosadiaz solemo-like virus	NCBI_only	2716736	.
Murine astrovirus 1	NCBI_only	2171379	.
Murine astrovirus 2	NCBI_only	2171380	.
Capybara microvirus Cap1_SP_135	NCBI_only	2585384	.
Enterobacteria phage JS9	NCBI_only	295713	.
Rheinheimera virus Barba19A	Both	2734091	2019.v1.942
Mycobacterium phage Wheeler	NCBI_only	1383054	.
Gordonia phage CloverMinnie	NCBI_only	2599842	.
Vibrio phage vB_VpP_FE11	NCBI_only	2723990	.
Microbacterium phage LilyLou	NCBI_only	2590876	.
Asteroid aquambidensovirus 1	Both	2748302	2019.v1.2381
Chimpanzee circular ssDNA virus	NCBI_only	2762510	.
Phlebovirus Strandja-BG2012-GI-strainCY	NCBI_only	2555887	.
Lynx rufus smacovirus 1	NCBI_only	2592414	.
Carollia perspicillata gammaherpesvirus A	NCBI_only	2737707	.
Ponticelli virus	NCBI_only	1954350	.
Marine virus AFVG_25M344	NCBI_only	2694505	.
Chimpanzee bufavirus	NCBI_only	2762501	.
Phlebovirus Strandja-BG2012-GI-strainCT	NCBI_only	2555885	.
Cacao Bacilliform SriLanka Virus	NCBI_only	2056878	.
Lynx rufus smacovirus 2	NCBI_only	2592415	.
Caprine alphaherpesvirus 1	Both	39944	2019.v1.41
Poecivirus NOCR-674	NCBI_only	1871149	.
Grapevine Anatolian ringspot virus	Both	223769	2019.v1.5308
Orangutan polyomavirus	NCBI_only	638786	.
IRE/CTVM19-associated rhabdovirus	NCBI_only	2725580	.
Cyanophage clone GS2633	NCBI_only	156624	.
Pan troglodytes schweinfurthii adenovirus 12	NCBI_only	1076312	.
Pan troglodytes schweinfurthii adenovirus 13	NCBI_only	1076313	.
Pan troglodytes schweinfurthii adenovirus 10	NCBI_only	1076310	.
Pan troglodytes schweinfurthii adenovirus 11	NCBI_only	1076311	.
Pan troglodytes schweinfurthii adenovirus 14	NCBI_only	1076314	.
